property_type,district,land_area,num_floors,total_investment,total_revenue,gross_profit,annual_rent,roi
villa,العارض,1008.2779762050114,3,15353356.77,39325109.7,23971752.93,1387945.05,7.23
hotel,حطين,6310.560008140017,8,142311388.98,575523072.74,433211683.76,43164230.46,24.26
tower,الملقا,2247.4269068764656,12,48842719.87,214552014.31,165709294.43,11442774.1,18.74
hotel,الياسمين,6585.429234255215,14,164032062.18,945773004.91,781740942.73,70932975.37,34.59
villa,الملقا,894.3616012691352,3,18387316.28,42225717.87,23838401.6,1490319.45,6.48
administrative_building,الملقا,4006.2831225781333,9,63512902.63,171180465.26,107667562.63,11004458.48,13.86
hotel,الملقا,6227.548809250091,8,132972238.66,539554828.83,406582590.17,40466612.16,24.35
villa,حطين,1477.5810747429578,2,30283839.48,47173253.39,16889413.91,1664938.36,4.4
residential_compound,العارض,9508.934842978124,7,75190227.87,122132759.12,46942531.26,6576379.34,7.0
administrative_building,القيروان,6522.993921705233,6,73187905.22,157575964.17,84388058.95,10129883.41,11.07
villa,حطين,695.9308968362998,3,15329698.51,34285731.56,18956033.06,1210084.64,6.31
hotel,حطين,3227.5961001050355,9,76395336.24,333087917.53,256692581.3,24981593.81,26.16
residential_compound,حطين,9639.999866992202,4,99125038.64,91433470.74,-7691567.9,4923340.73,3.97
tower,النرجس,4910.935885817066,11,94604918.27,402942289.43,308337371.16,21490255.44,18.17
villa,القيروان,1888.5554870798255,2,30366607.47,52757269.67,22390662.2,1862021.28,4.91
residential_compound,الياسمين,9921.542606318852,7,98772487.23,142136019.38,43363532.15,7653477.97,6.2
villa,النرجس,1760.9128579849073,2,31426218.08,51533995.25,20107777.16,1818846.89,4.63
residential_compound,العارض,4442.125206300152,7,35365104.12,57054656.15,21689552.03,3072173.79,6.95
hotel,حطين,4151.285861154942,12,111206306.78,577858991.87,466652685.1,43339424.39,31.18
villa,النرجس,1608.1096251277686,2,28738256.42,47062132.23,18323875.82,1661016.43,4.62
villa,القيروان,1725.545270235298,3,29837761.5,74384374.12,44546612.63,2625330.85,7.04
residential_compound,حطين,5427.114941620903,5,57521540.73,60505819.06,2984278.34,3258005.64,4.53
administrative_building,النرجس,5902.943742818015,9,85104116.22,236457168.98,151353052.76,15200818.01,14.29
hotel,حطين,8490.061155320294,14,244793960.05,1385577980.55,1140784020.5,103918348.54,33.96
administrative_building,الياسمين,6740.7349560554885,5,85187779.13,148321783.83,63134004.69,9534971.82,8.95
hotel,النرجس,3053.753149042174,9,63754302.78,283632592.48,219878289.7,21272444.44,26.69
administrative_building,النرجس,1894.292446352817,10,28809452.21,84831151.48,56021699.26,5453431.17,15.14
administrative_building,القيروان,5043.462241789452,9,66221791.1,188559922.83,122338131.74,12121709.33,14.64
villa,القيروان,1181.192960049573,3,20566897.3,50918570.82,30351673.52,1797126.03,6.99
tower,النرجس,5994.352925826341,11,115376731.47,491836657.56,376459926.09,26231288.4,18.19
villa,الملقا,1024.09057767473,3,20989160.63,48350644.47,27361483.84,1706493.33,6.5
villa,حطين,1205.0146666616893,3,26214418.59,59366252.57,33151833.98,2095279.5,6.39
residential_compound,حطين,11473.887486782096,4,117896712.31,108827528.03,-9069184.28,5859943.82,3.98
hotel,النرجس,9710.443429588286,13,242531354.7,1321397141.9,1078865787.2,99104785.64,32.69
residential_compound,النرجس,7542.076819039667,5,66186741.55,74888297.57,8701556.01,4032446.79,4.87
residential_compound,حطين,10387.845082610722,5,109688578.89,115812007.26,6123428.37,6236031.16,4.55
tower,الملقا,3723.0085799018234,14,87391557.86,417128208.17,329736650.31,22246837.77,20.37
administrative_building,الملقا,5351.46916373329,5,71201773.81,120771956.09,49570182.27,7763911.46,8.72
villa,العارض,1848.9443511554668,3,27779246.45,72112989.82,44333743.37,2545164.35,7.33
villa,القيروان,1856.1724559511697,3,32062473.1,80015418.19,47952945.09,2824073.58,7.05
villa,حطين,1224.6375406812276,2,25176656.58,39097778.12,13921121.54,1379921.58,4.38
hotel,الملقا,4379.106873084762,10,102833518.69,479249456.19,376415937.5,35943709.21,27.96
villa,العارض,1895.6786160751485,2,26214168.07,47912803.1,21698635.03,1691040.11,5.16
hotel,حطين,9719.715606278467,8,218949206.83,886438063.29,667488856.46,66482854.75,24.29
residential_compound,العارض,11270.389925321218,5,80199279.11,102091700.1,21892420.99,5497245.39,5.48
residential_compound,الياسمين,5468.9398933197435,4,48828242.3,47008819.75,-1819422.55,2531244.14,4.15
tower,العارض,5498.911654252148,15,111596751.81,544907776.74,433311024.93,29061748.09,20.83
residential_compound,الياسمين,8375.600307363015,6,80168963.73,102306282.63,22137318.91,5508799.83,5.5
residential_compound,العارض,8735.148602486706,7,69108268.02,112194248.65,43085980.63,6041228.77,6.99
villa,النرجس,710.0823553236562,2,12941058.71,20780915.17,7839856.46,733444.06,4.53
residential_compound,القيروان,13750.909022325875,7,120220417.58,186806099.07,66585681.48,10058789.95,6.69
villa,النرجس,1230.3946298777432,3,23558041.54,55565236.68,32007195.14,1961126.0,6.66
villa,النرجس,690.8512982749014,2,12602765.19,20218108.67,7615343.48,713580.31,4.53
administrative_building,الياسمين,4941.704962283888,10,78138543.71,230153978.57,152015434.86,14795612.91,15.15
administrative_building,النرجس,2055.2054205346803,5,24744583.28,43483008.68,18738425.41,2795336.27,9.04
residential_compound,النرجس,9023.688215087375,7,86175038.04,127044506.38,40869468.34,6840858.04,6.35
villa,الملقا,1709.6393414276783,2,32704055.82,52307697.88,19603642.07,1846154.04,4.52
villa,الملقا,940.3267272646548,3,19309192.84,44395880.86,25086688.01,1566913.44,6.49
hotel,حطين,6637.28373485106,8,149656138.36,605320276.62,455664138.26,45399020.75,24.27
residential_compound,العارض,8297.157633388793,4,56837483.28,63941215.59,7103732.31,3442988.53,4.85
administrative_building,الياسمين,1689.2474393714917,5,21685529.56,37169862.81,15484333.25,2389491.18,8.82
tower,حطين,2869.055792442389,13,67994745.99,315183710.4,247188964.4,16809797.89,19.78
villa,العارض,998.4595611951946,3,15208230.77,38942169.42,23733938.65,1374429.51,7.23
tower,الملقا,2074.403056025105,17,54555617.71,283992260.88,229436643.17,15146253.91,22.21
hotel,العارض,9816.919808829218,9,171558912.27,810484899.42,638925987.15,60786367.46,28.35
administrative_building,النرجس,4381.099516443097,9,63279348.17,175495893.88,112216545.71,11281878.89,14.26
administrative_building,القيروان,2905.657290710387,11,42003804.91,134261706.43,92257901.52,8631109.7,16.44
